Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest/616011_Max_Stage_Height_CTF_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.750532184
Long,116.068524205
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616011
Site Description,616011
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),1440.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Stage Height CTF (m),Decimal
QC,String
