Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest\6163119_Dissolved_Organic_Carbon_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-32.033899909
Long,115.949900980
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6163119
Site Description,6163119
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),12964.7037
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Dissolved Organic Carbon (mg/L),Decimal
QC,String
