Date,Depth,Data,QC
21-05-2012 10:51:50,0.178,4.400000,Good
21-05-2012 10:53:10,0.521,4.400000,Good
21-05-2012 10:53:44,1.025,6.400000,Good
21-05-2012 10:54:19,1.519,5.900000,Good
21-05-2012 10:54:51,2.014,6.800000,Good
21-05-2012 10:55:22,2.506,7.400000,Good
21-05-2012 10:56:12,2.723,17.200000,Good
28-05-2012 11:36:03,0.202,3.900000,Good
28-05-2012 11:36:30,0.482,6.100000,Good
28-05-2012 11:37:11,0.996,11.000000,Good
28-05-2012 11:37:42,1.525,7.700000,Good
28-05-2012 11:37:57,1.986,7.300000,Good
28-05-2012 11:38:34,2.452,11.500000,Good
